id,date,user_id,product,campaign_id,webpage_id,product_category_id,user_group_id,gender,age_level,user_depth,var_1,isClick
153699,2024/7/3 20:42,68463,3,0,0,0,5.0,Male,5.0,3.0,0,1
159448,2024/7/3 22:35,54558,3,0,0,0,3.0,Male,3.0,3.0,1,0
59594,2024/7/2 18:34,31602,1,8,7,4,1.0,Male,1.0,3.0,0,1
108304,2024/7/3 10:23,51699,3,2,2,2,3.0,Male,3.0,3.0,1,1
14385,2024/7/2 8:17,8658,3,0,0,2,2.0,Male,2.0,3.0,0,1
291829,2024/7/5 18:37,110441,1,3,0,3,,,,,1,0
35076,2024/7/2 12:48,11958,1,4,3,4,2.0,Male,2.0,3.0,0,1
122142,2024/7/3 13:36,56721,0,2,2,2,5.0,Male,5.0,3.0,0,1
275513,2024/7/5 15:05,106982,5,5,4,0,2.0,Male,2.0,3.0,1,0
235284,2024/7/5 4:23,275,0,3,0,2,1.0,Male,1.0,3.0,0,0
108345,2024/7/3 10:23,22085,0,1,1,1,4.0,Male,4.0,3.0,1,1
166741,2024/7/4 6:50,73035,0,2,2,2,1.0,Male,1.0,3.0,0,1
132317,2024/7/3 16:05,14756,0,2,2,3,2.0,Male,2.0,3.0,0,0
39822,2024/7/2 13:47,22054,0,0,0,0,2.0,Male,2.0,3.0,1,1
304679,2024/7/5 20:25,114652,0,1,1,1,9.0,Female,3.0,3.0,0,1
52180,2024/7/2 16:41,28038,3,2,2,2,2.0,Male,2.0,3.0,1,1
108085,2024/7/3 10:20,51611,0,7,6,4,1.0,Male,1.0,2.0,0,1
260608,2024/7/5 11:35,18154,3,2,2,3,2.0,Male,2.0,3.0,1,1
42099,2024/7/2 14:14,23055,0,0,0,0,1.0,Male,1.0,3.0,0,0
198482,2024/7/4 15:24,2985,3,2,2,2,4.0,Male,4.0,3.0,0,1
186338,2024/7/4 12:37,4646,0,3,0,1,2.0,Male,2.0,3.0,0,0
194162,2024/7/4 14:25,82616,0,2,2,3,1.0,Male,1.0,2.0,0,0
114068,2024/7/3 11:36,53837,3,0,0,0,3.0,Male,3.0,3.0,0,0
